frame,track_id,x1,y1,x2,y2,conf,class
1,1,946,221,1163,718,0.9172855019569397,0
1,2,164,223,333,697,0.8769097328186035,0
1,3,388,236,515,520,0.8688889145851135,0
1,4,319,333,401,568,0.8008415102958679,0
1,5,751,244,836,509,0.7999846935272217,0
1,6,1184,256,1280,720,0.7997337579727173,0
1,7,669,272,760,503,0.6971791386604309,0
1,8,545,270,665,520,0.6066884994506836,0
2,1,947,220,1163,717,0.9160637259483337,0
2,2,164,224,333,698,0.8807249069213867,0
2,3,389,236,518,522,0.8740877509117126,0
2,4,320,333,402,569,0.7886307835578918,0
2,5,751,244,836,509,0.7891649007797241,0
2,6,1183,250,1280,716,0.7876056432723999,0
2,7,668,273,759,503,0.667136549949646,0
2,8,545,268,665,520,0.6274973750114441,0
3,1,947,219,1164,717,0.9148644208908081,0
3,2,167,227,335,698,0.8709466457366943,0
3,3,392,235,520,522,0.8712327480316162,0
3,4,323,333,405,569,0.8011529445648193,0
3,5,752,244,837,509,0.7843770384788513,0
3,6,1183,248,1280,715,0.7819257378578186,0
3,7,668,273,760,505,0.6566588878631592,0
3,8,545,269,665,520,0.672455906867981,0
4,1,947,219,1164,718,0.9170446395874023,0
4,2,171,231,337,698,0.865619957447052,0
4,3,395,235,522,520,0.8698009848594666,0
4,4,326,337,408,569,0.8059664964675903,0
4,5,752,243,837,509,0.7819041013717651,0
4,6,1183,243,1280,714,0.7426863312721252,0
4,7,667,274,758,503,0.6445359587669373,0
4,8,545,270,665,521,0.6282861828804016,0
5,1,948,218,1165,717,0.9156723618507385,0
5,2,175,234,338,697,0.8578757643699646,0
5,3,399,234,525,518,0.8672023415565491,0
5,4,329,338,410,570,0.8088027834892273,0
5,5,753,243,838,509,0.773812472820282,0
5,6,1182,244,1280,718,0.7346864938735962,0
5,7,667,275,758,503,0.630521297454834,0
5,8,545,271,665,520,0.8250753879547119,0
6,1,948,218,1165,716,0.9165353178977966,0
6,2,179,235,341,693,0.8717023730278015,0
6,3,403,232,529,516,0.8640232086181641,0
6,4,331,338,411,568,0.811038076877594,0
6,5,753,244,837,509,0.7696648240089417,0
6,6,1178,228,1279,714,0.7245905995368958,0
6,7,668,275,758,502,0.6516600251197815,0
6,8,545,271,664,521,0.8360986709594727,0
7,1,948,218,1165,717,0.9161465764045715,0
7,2,184,236,342,688,0.8737066388130188,0
7,3,406,231,532,516,0.8607113361358643,0
7,4,332,338,413,566,0.8114333748817444,0
7,5,753,244,838,509,0.7662383913993835,0
7,6,1177,224,1278,713,0.7074080109596252,0
7,7,665,275,756,503,0.6017043590545654,0
7,8,545,271,665,520,0.84246826171875,0
8,1,948,217,1165,717,0.9151431918144226,0
8,2,188,237,344,683,0.8651527166366577,0
8,3,410,232,535,515,0.8716536164283752,0
8,4,335,337,415,560,0.812595546245575,0
8,5,754,244,838,508,0.7539877891540527,0
8,6,1175,219,1277,712,0.6843229532241821,0
8,7,666,274,757,501,0.5656384825706482,0
8,8,545,269,665,520,0.8380903601646423,0
9,1,948,217,1166,717,0.9154133200645447,0
9,2,192,238,345,678,0.8473436236381531,0
9,3,414,230,537,510,0.8831252455711365,0
9,4,337,335,417,558,0.820504367351532,0
9,5,756,244,840,507,0.7482467889785767,0
9,6,1175,221,1277,712,0.6875948905944824,0
9,7,669,270,760,500,0.654244601726532,0
9,8,545,268,665,520,0.8368271589279175,0
10,1,948,216,1166,717,0.916372537612915,0
10,2,195,237,345,669,0.8379708528518677,0
10,3,418,230,539,506,0.8913894891738892,0
10,4,341,335,420,554,0.819161593914032,0
10,5,757,245,840,507,0.7560657858848572,0
10,6,1175,226,1277,712,0.7207176685333252,0
10,7,670,269,760,499,0.7217448949813843,0
10,8,546,268,665,519,0.8386613726615906,0
11,1,948,215,1166,717,0.9171249270439148,0
11,2,193,235,342,658,0.858944296836853,0
11,3,421,230,541,503,0.8932956457138062,0
11,4,344,331,423,551,0.8180241584777832,0
11,5,757,244,841,507,0.7573414444923401,0
11,6,1179,227,1280,713,0.7254461050033569,0
11,7,670,268,760,499,0.728909969329834,0
11,8,546,268,665,518,0.8306645750999451,0
12,1,948,215,1166,717,0.9165451526641846,0
12,2,193,233,340,649,0.8675737380981445,0
12,3,424,230,543,501,0.8886907696723938,0
12,4,347,328,427,549,0.837180495262146,0
12,5,757,244,841,507,0.768639862537384,0
12,6,1181,226,1282,712,0.7164331078529358,0
12,7,670,268,759,499,0.7492591738700867,0
12,8,547,267,665,517,0.8255501985549927,0
12,9,291,206,376,513,0.743171215057373,0
12,10,0,295,33,491,0.6313526034355164,0
13,1,948,214,1166,717,0.9174896478652954,0
13,2,190,230,337,644,0.8717764019966125,0
13,3,427,229,545,499,0.8810610771179199,0
13,4,351,327,432,546,0.8302428126335144,0
13,5,758,243,842,507,0.7692520022392273,0
13,6,1187,232,1285,713,0.7266675233840942,0
13,7,669,268,757,500,0.6813316345214844,0
13,8,547,267,665,518,0.8022366166114807,0
13,9,291,204,377,515,0.7550434470176697,0
13,10,0,296,33,491,0.6818988919258118,0
14,1,948,214,1166,717,0.9167689085006714,0
14,2,189,228,335,641,0.8631882071495056,0
14,3,429,229,547,498,0.8748838901519775,0
14,4,354,328,435,544,0.7858654260635376,0
14,5,758,243,843,507,0.7439064979553223,0
14,6,1190,233,1286,714,0.7003475427627563,0
14,7,668,267,756,500,0.5530927777290344,0
14,8,548,267,665,517,0.7528696656227112,0
14,9,290,204,377,517,0.7293227910995483,0
14,10,1,295,34,490,0.7148265242576599,0
15,1,947,212,1167,717,0.916399359703064,0
15,2,187,225,333,638,0.8751838803291321,0
15,3,430,228,549,498,0.8667464852333069,0
15,4,358,328,439,543,0.7466766834259033,0
15,5,758,242,843,507,0.7414015531539917,0
15,6,1193,236,1288,716,0.6593578457832336,0
15,7,667,267,756,503,0.5131403803825378,0
15,8,548,267,665,516,0.6824337244033813,0
15,9,291,203,378,517,0.7435714602470398,0
15,10,2,294,35,492,0.7377541661262512,0
16,1,947,211,1167,717,0.9162896871566772,0
16,2,185,223,331,636,0.8810775279998779,0
16,3,431,228,550,499,0.8612606525421143,0
16,4,362,329,443,543,0.7577216625213623,0
16,5,757,242,841,506,0.7498070001602173,0
16,6,1194,241,1287,717,0.6619821786880493,0
16,7,669,267,756,501,0.5601082444190979,0
16,8,549,266,665,516,0.693716287612915,0
16,9,292,204,378,515,0.7537826895713806,0
16,10,2,294,36,491,0.750190794467926,0
17,1,948,211,1167,717,0.9158586859703064,0
17,2,182,222,329,635,0.8835633397102356,0
17,3,432,228,551,498,0.8532966375350952,0
17,4,366,328,446,543,0.7496328949928284,0
17,5,756,242,841,505,0.7408319711685181,0
17,6,1195,244,1286,716,0.6627904176712036,0
17,7,671,266,758,499,0.6180724501609802,0
17,8,551,265,667,516,0.7560628056526184,0
17,9,292,204,378,511,0.7581408023834229,0
17,10,2,291,36,490,0.7335923910140991,0
17,12,601,203,688,442,0.6299548745155334,0
18,1,948,209,1168,717,0.9155614972114563,0
18,2,180,221,328,634,0.8757621645927429,0
18,3,433,227,551,496,0.8564068675041199,0
18,4,368,328,448,541,0.756028413772583,0
18,5,756,240,841,504,0.7383722066879272,0
18,6,1197,243,1286,716,0.6617944836616516,0
