frame,track_id,x1,y1,x2,y2,conf,class
1,1,946,221,1163,718,0.9172855019569397,0
1,2,164,223,333,697,0.8769097328186035,0
1,3,388,236,515,520,0.8688889145851135,0
1,4,319,333,401,568,0.8008415102958679,0
1,5,751,244,836,509,0.7999846935272217,0
1,6,1184,256,1280,720,0.7997337579727173,0
1,7,669,272,760,503,0.6971791386604309,0
1,8,545,270,665,520,0.6066884994506836,0
2,1,947,220,1163,717,0.9160637259483337,0
2,2,164,224,333,698,0.8807249069213867,0
2,3,392,236,515,522,0.8740877509117126,0
2,4,320,333,403,569,0.7886307835578918,0
2,5,752,244,836,509,0.7891649007797241,0
2,6,1183,250,1279,716,0.7876056432723999,0
2,7,667,273,760,503,0.667136549949646,0
2,8,546,268,665,520,0.6274973750114441,0
3,1,947,219,1163,717,0.9148644208908081,0
3,2,171,227,332,698,0.8709466457366943,0
3,3,395,235,517,522,0.8712327480316162,0
3,4,322,333,407,569,0.8011529445648193,0
3,5,753,244,836,509,0.7843770384788513,0
3,6,1184,248,1280,715,0.7819257378578186,0
3,7,667,273,760,505,0.6566588878631592,0
3,8,546,269,665,520,0.672455906867981,0
4,1,948,219,1163,717,0.9170446395874023,0
4,2,177,231,331,698,0.865619957447052,0
4,3,398,235,519,520,0.8698009848594666,0
4,4,324,337,410,569,0.8059664964675903,0
4,5,753,243,837,509,0.7819041013717651,0
4,6,1184,243,1279,714,0.7426863312721252,0
4,7,665,274,759,503,0.6445359587669373,0
4,8,545,270,665,521,0.6282861828804016,0
5,1,949,218,1164,716,0.9156723618507385,0
5,2,183,234,330,697,0.8578757643699646,0
5,3,403,234,521,518,0.8672023415565491,0
5,4,326,338,413,569,0.8088027834892273,0
5,5,753,243,837,509,0.773812472820282,0
5,6,1182,244,1279,718,0.7346864938735962,0
5,7,665,275,759,503,0.630521297454834,0
5,8,545,271,665,520,0.8250753879547119,0
6,1,949,217,1164,716,0.9165353178977966,0
6,2,188,235,332,693,0.8717023730278015,0
6,3,407,232,525,516,0.8640232086181641,0
6,4,328,338,414,568,0.811038076877594,0
6,5,753,244,837,509,0.7696648240089417,0
6,6,1178,228,1279,714,0.7245905995368958,0
6,7,667,275,759,502,0.6516600251197815,0
6,8,545,271,665,521,0.8360986709594727,0
7,1,949,218,1164,717,0.9161465764045715,0
7,2,191,236,334,688,0.8737066388130188,0
7,3,411,231,528,516,0.8607113361358643,0
7,4,330,338,416,566,0.8114333748817444,0
7,5,754,244,837,508,0.7662383913993835,0
7,6,1175,224,1279,712,0.7074080109596252,0
7,7,663,275,759,502,0.6017043590545654,0
7,8,545,270,665,520,0.84246826171875,0
8,1,949,217,1165,717,0.9151431918144226,0
8,2,195,237,338,682,0.8651527166366577,0
8,3,414,232,531,515,0.8716536164283752,0
8,4,333,337,418,560,0.812595546245575,0
8,5,755,244,837,508,0.7539877891540527,0
8,6,1173,219,1279,712,0.6843229532241821,0
8,7,665,274,757,501,0.5656384825706482,0
8,8,545,269,665,520,0.8380903601646423,0
9,1,949,216,1166,717,0.9154133200645447,0
9,2,197,237,340,678,0.8473436236381531,0
9,3,417,230,534,510,0.8831252455711365,0
9,4,334,335,419,558,0.820504367351532,0
9,5,755,244,841,507,0.7482467889785767,0
9,6,1173,221,1280,712,0.6875948905944824,0
9,7,672,270,756,500,0.654244601726532,0
9,8,546,268,664,520,0.8368271589279175,0
10,1,948,216,1165,717,0.916372537612915,0
10,2,195,237,345,669,0.8379708528518677,0
10,3,419,230,538,506,0.8913894891738892,0
10,4,336,334,425,554,0.819161593914032,0
10,5,757,245,840,507,0.7560657858848572,0
10,6,1173,225,1279,712,0.7207176685333252,0
10,7,675,269,755,499,0.7217448949813843,0
10,8,547,268,664,519,0.8386613726615906,0
11,1,948,215,1165,717,0.9171249270439148,0
11,2,189,235,346,658,0.858944296836853,0
11,3,422,230,540,503,0.8932956457138062,0
11,4,340,331,427,550,0.8180241584777832,0
11,5,757,244,841,507,0.7573414444923401,0
11,6,1180,227,1279,712,0.7254461050033569,0
11,7,676,268,754,499,0.728909969329834,0
11,8,548,268,663,518,0.8306645750999451,0
12,1,948,215,1166,717,0.9165451526641846,0
12,2,188,233,345,649,0.8675737380981445,0
12,3,424,229,543,501,0.8886907696723938,0
12,4,344,328,430,548,0.837180495262146,0
12,5,758,244,841,507,0.768639862537384,0
12,6,1184,225,1279,712,0.7164331078529358,0
12,7,676,268,753,499,0.7492591738700867,0
12,8,549,267,662,517,0.8255501985549927,0
12,9,292,206,375,513,0.743171215057373,0
12,10,0,295,33,491,0.6313526034355164,0
13,1,948,214,1166,717,0.9174896478652954,0
13,2,187,230,340,644,0.8717764019966125,0
13,3,426,229,545,499,0.8810610771179199,0
13,4,347,327,436,546,0.8302428126335144,0
13,5,758,243,842,507,0.7692520022392273,0
13,6,1193,231,1280,713,0.7266675233840942,0
13,7,674,268,752,499,0.6813316345214844,0
13,8,550,267,662,517,0.8022366166114807,0
13,9,291,204,377,515,0.7550434470176697,0
13,10,0,296,34,491,0.6818988919258118,0
13,11,607,208,696,449,0.5764352679252625,0
14,1,948,213,1166,717,0.9167689085006714,0
14,2,188,228,337,641,0.8631882071495056,0
14,3,428,229,548,498,0.8748838901519775,0
14,4,348,328,440,544,0.7858654260635376,0
14,5,758,243,844,507,0.7439064979553223,0
14,6,1197,233,1279,714,0.7003475427627563,0
14,7,672,267,751,500,0.5530927777290344,0
14,8,550,267,662,517,0.7528696656227112,0
14,9,289,204,378,517,0.7293227910995483,0
14,10,0,294,35,490,0.7148265242576599,0
14,11,606,206,692,448,0.574881374835968,0
15,1,948,212,1167,717,0.916399359703064,0
15,2,186,225,335,638,0.8751838803291321,0
15,3,429,228,550,498,0.8667464852333069,0
15,4,355,328,442,543,0.7466766834259033,0
15,5,757,242,845,507,0.7414015531539917,0
15,6,1201,236,1280,716,0.6593578457832336,0
15,7,670,267,753,503,0.5131403803825378,0
15,8,551,267,662,516,0.6824337244033813,0
15,9,288,203,380,517,0.7435714602470398,0
15,10,0,294,37,492,0.7377541661262512,0
15,11,605,207,689,447,0.5548607110977173,0
16,1,948,211,1166,717,0.9162896871566772,0
16,2,183,223,333,635,0.8810775279998779,0
16,3,430,228,551,498,0.8612606525421143,0
16,4,361,328,445,543,0.7577216625213623,0
16,5,756,241,842,506,0.7498070001602173,0
16,6,1202,241,1279,716,0.6619821786880493,0
16,7,670,266,754,501,0.5601082444190979,0
16,8,553,266,661,516,0.693716287612915,0
16,9,288,204,382,515,0.7537826895713806,0
16,10,0,294,39,491,0.750190794467926,0
16,11,602,205,688,445,0.6353789567947388,0
17,1,948,211,1167,717,0.9158586859703064,0
17,2,180,222,331,635,0.8835633397102356,0
17,3,431,228,552,498,0.8532966375350952,0
17,4,366,328,446,543,0.7496328949928284,0
17,5,756,241,841,505,0.7408319711685181,0
17,6,1202,243,1280,716,0.6627904176712036,0
17,7,673,265,755,499,0.6180724501609802,0
17,8,554,265,663,516,0.7560628056526184,0
17,9,287,203,383,511,0.7581408023834229,0
17,10,0,291,39,490,0.7335923910140991,0
17,11,600,203,689,442,0.6299548745155334,0
18,1,949,209,1168,717,0.9155614972114563,0
18,2,177,221,330,634,0.8757621645927429,0
